filter_id,Mg,Al,Si,S,K,Ca,Ti,Mn,Fe,Zn,Cl,Na,BC,PM25,arm,fueltype,group
3M52754,0.0236,0.1434,0.2216,0.0208,0.0373,0.0445,0.0229,0.0103,0.0743,0.0037,0.0561,0.0213,0.6858,4.8091,Intervention,LPG,Intervention
3M52761,0.0156,0.061,0.0664,0.029,0.2179,0.0274,0.0149,0.0089,0.0273,0.0037,0.4105,0.0117,1.7918,9.9995,Control,Biomass,Control
3M52769,0.0228,0.1022,0.1383,0.0222,0.0313,0.0204,0.0216,0.0046,0.0502,0.022,0.0658,0.0316,2.142,4.8779,Intervention,LPG,Intervention
3M52770,0.0209,0.1049,0.1538,0.022,0.0429,0.0243,0.0184,0.0102,0.0474,0.0174,0.033,0.0204,0.9335,4.922,Control,Biomass,Control
3M52771,0.0309,0.1728,0.3105,0.0339,0.1148,0.0344,0.0224,0.0123,0.0939,0.0037,0.2601,0.0377,2.6549,10.2731,Control,Biomass,Control
3M52772,0.0264,0.1246,0.1839,0.0285,0.0467,0.0248,0.0203,0.01,0.0584,0.0184,0.0681,0.032,1.278,5.1395,Intervention,LPG,Intervention
3M52773,0.0279,0.1272,0.1776,0.0291,0.0508,0.033,0.0186,0.0098,0.0599,0.0037,0.0914,0.0351,0.5509,4.8419,Intervention,LPG,Intervention
3M52781,0.0312,0.1398,0.2144,0.0264,0.039,0.0308,0.0196,0.0103,0.0629,0.0037,0.0801,0.0381,0.7915,4.8198,Intervention,LPG,Intervention
3M52785,0.0269,0.1428,0.2321,0.0303,0.1655,0.0442,0.0237,0.0046,0.0688,0.0208,0.3023,0.0266,1.7487,17.0728,Control,Biomass,Control
3M52788,0.0179,0.0897,0.1061,0.0194,0.0163,0.0156,0.0161,0.0094,0.039,0.0037,0.017,0.0171,1.365,4.7499,Intervention,LPG,Intervention
3M52789,0.0216,0.0837,0.1458,0.0334,0.0616,0.0296,0.0213,0.0046,0.0507,0.017,0.0809,0.0218,1.9008,7.8416,Control,Biomass,Control
3M52791,0.0349,0.1122,0.1573,0.0308,0.1461,0.0846,0.0218,0.0126,0.0616,0.0203,0.2517,0.0155,1.8543,7.3677,Control,Biomass,Control
3M52793,0.0221,0.0943,0.1425,0.0324,0.1404,0.041,0.0192,0.0046,0.0546,0.0222,0.168,0.0234,3.914,6.2284,Control,Biomass,Control
3M52796,0.0168,0.0884,0.149,0.0447,0.2853,0.0201,0.0173,0.0089,0.0457,0.0202,0.6209,0.0162,2.1855,13.6259,Control,Biomass,Control
3M52805,0.0175,0.0964,0.1002,0.021,0.029,0.0182,0.0188,0.0101,0.0347,0.024,0.0305,0.0171,1.1944,4.8424,Intervention,LPG,Intervention
3M52807,0.0229,0.1057,0.1519,0.0245,0.0328,0.0213,0.0176,0.0106,0.0489,0.0161,0.0166,0.0244,2.2692,4.8254,Intervention,LPG,Intervention
3M52809,0.0235,0.1284,0.1777,0.0224,0.0249,0.0294,0.0167,0.01,0.0655,0.0186,0.0264,0.0233,1.237,4.6959,Intervention,LPG,Intervention
3M52813,0.006,0.0405,0.0222,0.0154,0.0214,0.0185,0.0136,0.0098,0.0142,0.0037,0.0177,0.061,1.0684,4.802,Intervention,LPG,Intervention
3M52823,0.0239,0.0814,0.0851,0.0181,0.15,0.0627,0.0159,0.0109,0.0489,0.0163,0.3342,0.011,1.8221,6.1639,Control,Biomass,Control
3M52824,0.0104,0.0519,0.0306,0.0203,0.1842,0.02,0.016,0.0102,0.0227,0.0186,0.3036,0.061,2.3476,9.0372,Control,Biomass,Baseline
3M52830,0.0158,0.1814,0.2596,0.0122,0.0573,0.0524,0.0258,0.0178,0.098,0.0174,0.0775,0.0173,1.8872,5.085,Control,Biomass,Control
3M52832,0.0221,0.0628,0.0934,0.0134,0.0487,0.0602,0.0142,0.0092,0.0256,0.0203,0.0458,0.0189,1.7751,5.6107,Control,Biomass,Control
3M52836,0.0176,0.115,0.1292,0.0139,0.0714,0.036,0.0168,0.0113,0.058,0.0175,0.0888,0.0178,1.4647,5.569,Intervention,Biomass,Baseline
3M52837,0.0102,0.0491,0.0169,0.0105,0.0522,0.0148,0.0132,0.0046,0.0162,0.0184,0.0556,0.0108,2.0227,5.2507,Intervention,Biomass,Baseline
3M52840,0.015,0.1191,0.1901,0.0185,0.1135,0.0475,0.0198,0.0133,0.0886,0.0165,0.299,0.0106,3.5639,11.3996,Control,Biomass,Baseline
3M52841,0.0244,0.0953,0.13,0.0268,0.2141,0.0709,0.0173,0.0097,0.0494,0.0037,0.3659,0.0128,2.0122,10.8075,Control,Biomass,Baseline
3M52849,0.0103,0.0691,0.0336,0.0141,0.0194,0.0165,0.0179,0.0046,0.0225,0.022,0.0153,0.0111,1.0705,4.9885,Control,Biomass,Control
3M52851,0.0048,0.0254,0.0104,0.0091,0.0152,0.0066,0.0132,0.0046,0.0066,0.0108,0.0089,0.061,1.0836,4.729,Intervention,LPG,Intervention
3M52869,0.0069,0.0369,0.0043,0.0208,0.0234,0.011,0.0132,0.005,0.0112,0.0114,0.0141,0.061,1.6451,4.8458,Control,Biomass,Control
3M52876,0.0073,0.0307,0.0138,0.0186,0.034,0.0181,0.0132,0.0061,0.0163,0.0037,0.0236,0.061,3.3032,4.8356,Control,Biomass,Control
3M52899,0.0213,0.0512,0.0589,0.0176,0.0423,0.045,0.0076,0.0056,0.0256,0.0037,0.0628,0.0111,1.5783,5.2919,Control,Biomass,Baseline
3M52905,0.0076,0.0357,0.0706,0.0479,0.4342,0.0181,0.0106,0.0042,0.0253,0.0037,0.6111,0.061,1.8801,33.8649,Control,Biomass,Baseline
3M52906,0.0048,0.0089,0.0165,0.0167,0.0165,0.0115,0.0064,0.0046,0.0182,0.0037,0.0112,0.011,1.4799,4.6866,Control,Biomass,Control
3M52909,0.0046,0.0064,0.0163,0.0162,0.046,0.011,0.0132,0.0046,0.0177,0.0037,0.0349,0.013,2.808,5.0214,Intervention,LPG,Intervention
3M52916,0.0105,0.0301,0.0789,0.0333,0.0348,0.0495,0.0115,0.0094,0.035,0.0116,0.1131,0.0119,1.6558,10.7822,Intervention,LPG,Intervention
3M52922,0.0126,0.0512,0.1065,0.0195,0.0286,0.0206,0.0103,0.0053,0.0418,0.0037,0.0121,0.0214,2.4693,4.7713,Intervention,LPG,Intervention
3M52928,0.0254,0.0701,0.1334,0.0583,0.3382,0.063,0.0145,0.0079,0.0482,0.0106,0.5555,0.0168,1.9976,13.4057,Control,Biomass,Control
3M52929,0.0098,0.1058,0.1205,0.0119,0.0261,0.0198,0.0135,0.0096,0.0558,0.0103,0.0331,0.0131,1.0891,4.8896,Intervention,LPG,Intervention
3M52933,0.0104,0.056,0.0584,0.0151,0.0403,0.0246,0.0082,0.0046,0.0268,0.0077,0.037,0.0101,2.2069,5.0023,Control,Biomass,Baseline
3M52936,0.0086,0.0473,0.0299,0.0114,0.0425,0.0228,0.0132,0.0043,0.0224,0.0037,0.0648,0.0099,3.085,5.5764,Control,Biomass,Baseline
3M52942,0.0123,0.0913,0.1669,0.0224,0.069,0.0357,0.0127,0.008,0.0587,0.0088,0.1077,0.0122,1.8086,6.344,Control,Biomass,Control
3M52944,0.0079,0.009,0.0104,0.004,0.0024,0.0039,0.0132,0.0046,0.0066,0.0037,0.0046,0.061,2.1215,4.7036,Intervention,LPG,Intervention
3M52954,0.0055,0.009,0.0104,0.0128,0.0821,0.0172,0.0063,0.0046,0.0095,0.0037,0.1094,0.061,1.886,7.3784,Control,Biomass,Control
3M52959,0.0089,0.0288,0.1003,0.022,0.1104,0.036,0.0103,0.005,0.0253,0.011,0.1059,0.0132,2.243,5.8444,Intervention,LPG,Intervention
3M52961,0.0104,0.0718,0.1008,0.0147,0.0695,0.0321,0.0147,0.0064,0.0475,0.0037,0.1086,0.0143,1.3783,5.3301,Control,Biomass,Control
3M52964,0.0077,0.0487,0.0418,0.0126,0.0431,0.0157,0.01,0.0036,0.0277,0.0037,0.0391,0.061,3.4701,5.2955,Intervention,LPG,Intervention
3M52965,0.0062,0.0359,0.0593,0.0151,0.0752,0.0193,0.0118,0.0056,0.0369,0.0118,0.0756,0.0096,1.9784,5.2955,Intervention,LPG,Intervention
3M52966,0.0066,0.0386,0.0727,0.0089,0.021,0.0195,0.0127,0.006,0.0275,0.0037,0.0106,0.0096,2.003,4.7497,Intervention,LPG,Intervention
3M52968,0.0099,0.0354,0.0197,0.0302,0.1351,0.0266,0.0103,0.0079,0.0153,0.0103,0.1423,0.061,1.9822,8.9237,Control,Biomass,Control
